,num_vinculo,dc_cargo_base,grupo_cargo_base,nivel_cargo_base,segmento_cargo_base,referencia_cargo_comissao,relacao_juridica,qt_hora_jornada_semanal,dc_orgao,qtd_servidores_orgao,ano_nascimento,sexo,raca,pessoa_com_deficiencia,vl_remuneracao_base_mensal,vl_outro_elemento_remuneracao,vl_remuneracao_total_bruta,cedido,tempo_exercicio_dias
23,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA JACANA/TREMEMBE,159.0,1953,M,BRANCA,NAO,19623.47,3159.51,22782.98,False,12375
24,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,DAS15,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1955,M,BRANCA,NAO,20687.03,6497.72,27184.75,False,13250
25,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SUBPREFEITURA JABAQUARA,122.0,1954,F,BRANCA,NAO,16126.72,2669.97,18796.69,False,14254
26,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1951,F,BRANCA,NAO,18131.8,2950.68,21082.48,False,13254
27,5,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS12,EFETIVO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1956,M,BRANCA,NAO,22110.33,3407.44,25517.77,False,13247
28,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,DAS12,EFETIVO,40,SUBPREFEITURA CIDADE ADEMAR,91.0,1954,M,BRANCA,NAO,18809.92,5984.3,24794.22,False,10968
29,1,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,Nenhum,"EDUCACAO FISICA, ESPORTES",,ADMITIDO,40,SECRETARIA MUNICIPAL DE ESPORTES E LAZER,679.0,1946,M,BRANCA,NAO,8727.48,1634.07,10361.55,False,16432
30,3,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,236.0,1954,F,BRANCA,NAO,16043.35,7827.81,23871.16,False,11350
31,3,ANALISTA,QAA,Nenhum,0,,ADMITIDO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1957,F,PARDA,NAO,7475.01,1458.73,8933.74,False,12406
32,2,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,ADMINISTRACAO,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1953,F,PRETA,NAO,16695.76,5335.96,22031.72,False,15600
33,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1954,F,BRANCA,NAO,18093.95,5961.04,24054.99,False,13230
34,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SUBPREFEITURA VILA MARIANA,152.0,1949,M,BRANCA,NAO,19541.48,3148.03,22689.51,False,13266
35,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS15,EFETIVO,40,SUBPREFEITURA CAPELA DO SOCORRO,127.0,1949,M,BRANCA,NAO,19464.01,6153.46,25617.47,False,13280
36,2,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,IV,BIBLIOTECONOMIA,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1955,F,BRANCA,NAO,16544.68,2658.29,19202.97,False,11721
37,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,236.0,1951,M,BRANCA,NAO,19541.48,3148.03,22689.51,False,13288
38,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,I,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE HABITACAO,247.0,1956,F,BRANCA,NAO,7035.0,1388.43,8423.43,False,500
39,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1958,M,AMARELA,NAO,18093.95,5961.04,24054.99,False,12935
40,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,236.0,1953,M,BRANCA,NAO,20643.92,3302.37,23946.29,False,15624
41,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1953,F,BRANCA,NAO,19541.48,3030.25,22571.73,False,15626
42,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,DAS14,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1959,F,BRANCA,NAO,19024.71,2945.38,21970.09,False,11024
43,2,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,III,SERVICO SOCIAL,DAS12,EFETIVO,40,SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,898.0,1954,M,PARDA,NAO,14222.13,4982.55,19204.68,False,10566
44,5,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS12,EFETIVO,40,SECRETARIA MUNICIPAL DE HABITACAO,247.0,1957,M,BRANCA,NAO,20257.45,3148.03,23405.48,False,13287
45,3,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1952,F,BRANCA,NAO,16754.56,5550.29,22304.85,False,11362
46,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1950,F,BRANCA,NAO,19541.48,3148.03,22689.51,False,14241
47,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SUBPREFEITURA LAPA,174.0,1954,M,BRANCA,NAO,19541.48,6208.64,25750.12,False,15238
48,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,DAS15,EFETIVO,40,SUBPREFEITURA VILA PRUDENTE,110.0,1953,M,BRANCA,NAO,16104.18,2192.35,18296.53,False,13287
49,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ARQUITETURA,,EFETIVO,40,SUBPREFEITURA LAPA,174.0,1955,M,BRANCA,NAO,,,0.0,False,11028
50,3,ANALISTA DE MEIO AMBIENTE,QAA,II,MEIO AMBIENTE,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1952,M,BRANCA,NAO,7878.88,1103.04,8981.92,True,4629
51,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE HABITACAO,247.0,1952,M,BRANCA,NAO,19541.48,7078.35,26619.83,True,15609
52,4,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,III,CIENCIAS CONTABEIS,DAS12,EFETIVO,40,SECRETARIA MUNICIPAL DE ESPORTES E LAZER,679.0,1958,M,BRANCA,NAO,12544.35,2168.43,14712.78,False,8686
53,4,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,SOCIOLOGIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1960,F,BRANCA,NAO,16429.4,2712.34,19141.74,False,10913
54,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1958,F,BRANCA,NAO,16753.67,5334.09,22087.76,False,10984
55,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,II,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA,51.0,1959,M,BRANCA,NAO,9290.79,1712.94,11003.73,False,5503
56,2,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,CIENCIAS CONTABEIS,,EFETIVO,40,SECRETARIA MUNICIPAL DA FAZENDA,972.0,1959,F,BRANCA,NAO,16043.35,2246.06,18289.41,True,13350
57,5,ANALISTA DE MEIO AMBIENTE,QAA,II,MEIO AMBIENTE,,EFETIVO,40,SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE,740.0,1955,M,AMARELA,NAO,7575.84,412.23,7988.07,False,4381
58,2,ANALISTA,QAA,Nenhum,0,,ADMITIDO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1949,F,BRANCA,NAO,7290.65,3490.17,10780.82,False,12063
59,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,DAS15,EFETIVO,40,SUBPREFEITURA BUTANTA,122.0,1956,F,BRANCA,NAO,20687.03,9847.41,30534.44,False,13251
60,3,ECONOMISTA,QPA,I,CIENCIAS ECONOMICAS,DAS15,ADMITIDO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1961,M,BRANCA,NAO,8184.77,13671.51,21856.28,False,13247
61,2,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,ADMINISTRACAO,,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1959,F,AMARELA,NAO,16043.35,2658.29,18701.64,False,11370
62,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ENGENHARIA,DAS12,EFETIVO,40,SUBPREFEITURA SANTANA/TUCURUVI,183.0,1960,M,PARDA,NAO,16888.32,5491.07,22379.39,False,10997
63,2,ANALISTA,QAA,Nenhum,0,,ADMITIDO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1959,F,BRANCA,NAO,7215.11,412.23,7627.34,False,13776
64,4,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,SOCIOLOGIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,898.0,1956,M,BRANCA,NAO,14958.28,5830.44,20788.72,False,10922
65,3,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,CIENCIAS CONTABEIS,,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1959,F,BRANCA,NAO,15208.12,2541.36,17749.48,False,10859
66,3,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,III,"EDUCACAO FISICA, ESPORTES",DAS09,EFETIVO,40,SECRETARIA MUNICIPAL DE ESPORTES E LAZER,679.0,1960,F,BRANCA,NAO,10542.99,1838.12,12381.11,False,4810
67,2,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,CIENCIAS CONTABEIS,,EFETIVO,40,SUBPREFEITURA PIRITUBA,167.0,1955,M,PRETA,NAO,14854.95,2079.69,16934.64,True,10818
68,3,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,TECNOLOGIA EM CONSTRUCAO CIVIL,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1959,M,AMARELA,NAO,14132.29,2390.75,16523.04,False,10905
69,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,236.0,1956,F,BRANCA,NAO,19541.48,2971.36,22512.84,False,13288
70,4,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,PROCURADORIA GERAL DO MUNICIPIO,795.0,1958,F,BRANCA,NAO,13754.58,5394.44,19149.02,False,11160
71,2,ANALISTA,QAA,Nenhum,0,,ADMITIDO,40,GABINETE DO PREFEITO,865.0,1960,F,BRANCA,NAO,7215.11,,7215.11,True,12916
72,4,ANALISTA,QAA,Nenhum,0,,ADMITIDO,40,SUBPREFEITURA VILA MARIANA,152.0,1954,F,BRANCA,NAO,7215.11,1422.34,8637.45,False,12419
73,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SUBPREFEITURA VILA MARIANA,152.0,1961,M,BRANCA,NAO,18093.95,4543.59,22637.54,True,11027
74,1,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1955,F,BRANCA,NAO,16118.89,2649.24,18768.13,False,14828
75,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS11,EFETIVO,40,SECRETARIA MUNICIPAL DE HABITACAO,247.0,1955,M,BRANCA,NAO,20185.84,6464.42,26650.26,False,13273
76,3,ANALISTA,QAA,Nenhum,0,,ADMITIDO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1954,M,PARDA,SIM,7215.11,1422.34,8637.45,False,12143
77,5,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,CIENCIAS CONTABEIS,,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1957,F,AMARELA,NAO,,,0.0,True,10788
78,1,HISTORIADOR,QPCEL,I,,DAI06,ADMITIDO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1957,F,BRANCA,NAO,7458.03,2742.55,10200.58,False,14764
79,2,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,I,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,898.0,1960,F,BRANCA,SIM,6794.67,412.23,7206.9,False,1968
80,3,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,II,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1956,F,AMARELA,NAO,8893.25,2644.73,11537.98,False,11367
81,3,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,DAS11,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1962,F,PARDA,NAO,16951.99,5394.9,22346.89,False,10688
82,2,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,CIENCIAS CONTABEIS,,EFETIVO,40,SECRETARIA MUNICIPAL DA FAZENDA,972.0,1955,M,PARDA,NAO,14854.95,2079.69,16934.64,True,13246
83,4,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,III,CIENCIAS CONTABEIS,DAS10,EFETIVO,40,SUBPREFEITURA SAPOPEMBA,104.0,1962,M,PARDA,NAO,,,0.0,False,10845
84,4,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,II,BIBLIOTECONOMIA,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1961,M,BRANCA,NAO,9390.04,3005.72,12395.76,False,6546
85,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1957,F,BRANCA,NAO,19541.48,3148.03,22689.51,False,11825
86,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SUBPREFEITURA VILA MARIA/VILA GUILHERME,145.0,1956,M,PRETA,NAO,18093.95,2945.38,21039.33,False,10599
87,3,ANALISTA DE ORDENAMENTO TERRITORIAL,QAA,IV,TECNOLOGIA EM MECANICA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1958,M,BRANCA,NAO,16043.35,2658.29,18701.64,False,13757
88,2,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,IV,BIBLIOTECONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1959,F,BRANCA,NAO,16043.35,2246.06,18289.41,True,13974
89,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS15,EFETIVO,40,SUBPREFEITURA SAPOPEMBA,104.0,1956,M,BRANCA,NAO,20903.39,3178.32,24081.71,False,13287
90,2,ANALISTA,QAA,Nenhum,0,,ADMITIDO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1960,M,BRANCA,NAO,7215.11,1422.34,8637.45,False,12306
91,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS12,EFETIVO,40,SUBPREFEITURA PINHEIROS,153.0,1958,F,BRANCA,NAO,18809.92,2945.38,21755.3,False,10997
92,3,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,CIENCIAS CONTABEIS,DAS12,EFETIVO,40,PROCURADORIA GERAL DO MUNICIPIO,795.0,1963,M,NAO INFORMADO,NAO,16750.55,2657.04,19407.59,False,10849
93,3,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,III,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1955,F,PRETA,NAO,10705.5,1852.11,12557.61,False,10612
94,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,DAS10,EFETIVO,40,SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,236.0,1958,F,BRANCA,NAO,20042.66,3148.03,23190.69,False,13288
95,2,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,IV,BIBLIOTECONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1957,F,BRANCA,NAO,16043.35,2658.29,18701.64,False,13988
96,3,ANALISTA DE INFORMACOES CULTURA E DESPORTO,QAA,IV,BIBLIOTECONOMIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1954,F,AMARELA,NAO,16043.35,5332.18,21375.53,False,11160
97,3,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,III,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1960,F,NAO INFORMADO,NAO,10654.08,1788.12,12442.2,False,10951
98,3,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,IV,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL,898.0,1955,F,BRANCA,NAO,16043.35,5116.25,21159.6,False,11374
99,2,ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL,QAA,IV,CIENCIAS CONTABEIS,,EFETIVO,40,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1959,M,BRANCA,NAO,15373.7,2805.96,18179.66,False,10858
100,2,ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL,QAA,III,SERVICO SOCIAL,,EFETIVO,30,SECRETARIA MUNICIPAL DA SAUDE,22493.0,1960,F,PARDA,NAO,11504.98,2022.92,13527.9,False,11346
101,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,II,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1960,M,BRANCA,NAO,,,0.0,True,5531
102,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ARQUITETURA,,EFETIVO,40,SUBPREFEITURA MOOCA,192.0,1960,M,BRANCA,NAO,16753.67,4462.22,21215.89,False,11032
103,3,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,III,ARQUITETURA,,EFETIVO,40,SECRETARIA MUNICIPAL DE CULTURA,1180.0,1958,M,BRANCA,NAO,14958.63,2506.43,17465.06,False,11031
104,2,"PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA",QEAG,IV,ENGENHARIA,,EFETIVO,40,SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO,759.0,1954,F,BRANCA,NAO,19541.48,6404.94,25946.42,False,10720
